DiveNum Depth Oxy Temp Count SqYear SqMonth 
1457.1	614.5100	0.200	5.179	   1	1998	 8
1457.1	614.5100	0.200	5.179	   1	1998	 8
1457.1	614.7100	0.210	5.182	   1	1998	 8
1457.1	845.5700	0.230	4.322	   1	1998	 8
1464.1	549.8800	0.240	5.502	   1	1998	 8
1464.1	572.5400	0.190	5.369	   1	1998	 8
1489.1	458.0500	0.540	5.974	   1	1998	 9
1489.1	459.9700	0.540	5.974	   3	1998	 9
1489.1	459.9700	0.540	5.974	   3	1998	 9
1489.1	472.0700	NaN	NaN	   1	1998	 9
1521.1	334.3400	1.040	7.108	   2	1998	11
1521.1	382.0400	0.830	6.697	   1	1998	11
1521.1	404.1300	0.750	6.592	   1	1998	11
1521.1	415.4700	0.720	6.552	   1	1998	11
1521.1	549.4600	0.250	5.430	   1	1998	11
1521.1	570.1500	0.200	5.342	   1	1998	11
1521.1	586.8700	0.150	5.193	   1	1998	11
1521.1	597.3400	0.130	5.128	   1	1998	11
1521.1	614.5700	0.120	5.080	   1	1998	11
1521.1	614.5700	0.120	5.080	   1	1998	11
1521.1	618.0000	0.110	5.074	   6	1998	11
1521.1	629.9900	0.120	5.011	   5	1998	11
1521.1	637.0500	0.100	4.979	   1	1998	11
1521.1	668.5600	0.070	4.802	   1	1998	11
1521.1	668.5600	0.070	4.802	   1	1998	11
1521.1	672.5500	0.070	4.756	   1	1998	11
1521.1	676.2900	0.070	4.756	   1	1998	11
1521.1	753.2600	0.100	4.408	   1	1998	11
1521.1	887.3400	0.160	4.118	   1	1998	11
1521.1	298.8600	1.160	7.580	  26	1998	11
1521.1	298.9800	1.150	7.536	   1	1998	11
1521.1	298.9800	1.150	7.536	   1	1998	11
1521.1	298.9900	1.140	7.519	   1	1998	11
1521.1	199.5400	1.730	8.747	   1	1998	11
1521.1	199.4300	1.730	8.747	   1	1998	11
1522.1	220.9500	1.650	8.453	  12	1998	11
1522.1	220.9500	1.650	8.453	  12	1998	11
1522.1	184.6500	1.680	8.989	   2	1998	11
1522.1	184.6500	1.680	8.989	   2	1998	11
1523.1	247.4700	1.390	8.171	   1	1998	11
1524.1	183.3100	1.670	8.764	   1	1998	11
1524.1	158.0000	1.720	9.017	   1	1998	11
1524.1	157.9000	1.730	9.021	  13	1998	11
1528.1	200.1500	2.510	8.823	   1	1998	11
1528.1	200.1500	2.510	8.823	   1	1998	11
1528.1	200.1700	2.510	8.826	   1	1998	11
1528.1	199.8600	2.510	8.826	   1	1998	11
1528.1	199.8600	2.510	8.826	   1	1998	11
1528.1	362.1200	1.690	7.254	   1	1998	11
1528.1	397.7900	1.320	6.923	   1	1998	11
1528.1	400.8700	1.270	6.908	   1	1998	11
1528.1	400.3900	1.270	6.917	   1	1998	11
1528.1	400.2700	1.270	6.915	   1	1998	11
1528.1	420.8700	1.150	6.723	   1	1998	11
1528.1	491.1900	0.660	5.829	   1	1998	11
1528.1	502.7200	0.500	5.693	   4	1998	11
1528.1	500.4300	0.510	5.694	   1	1998	11
1528.1	501.1100	0.520	5.699	   1	1998	11
1528.1	500.8700	0.520	5.715	   1	1998	11
1528.1	500.8700	0.530	5.726	   1	1998	11
1528.1	500.8700	0.530	5.726	   1	1998	11
1528.1	500.9300	0.530	5.726	   1	1998	11
1528.1	500.9300	0.530	5.726	   1	1998	11
1528.1	500.9600	0.540	5.746	   1	1998	11
1528.1	529.1000	0.440	5.539	   1	1998	11
1528.1	531.7000	0.430	5.530	   1	1998	11
1528.1	586.7100	0.260	5.199	   1	1998	11
1528.1	599.3600	0.230	5.129	   1	1998	11
1528.1	599.5300	0.230	5.132	   3	1998	11
1528.1	595.8700	0.240	5.138	   1	1998	11
1528.1	594.2100	0.240	5.141	   1	1998	11
1528.1	595.3200	0.240	5.151	   1	1998	11
1528.1	595.3700	NaN	NaN	   1	1998	11
1528.1	596.2200	0.240	5.150	   1	1998	11
1528.1	596.2200	0.240	5.150	   1	1998	11
1528.1	595.5400	0.240	5.152	   1	1998	11
1528.1	598.2700	0.230	5.149	   1	1998	11
1528.1	594.3200	0.240	5.144	   1	1998	11
1528.1	597.7500	0.240	5.139	   1	1998	11
1528.1	599.1300	0.240	5.153	   1	1998	11
1528.1	620.5100	0.200	5.001	   1	1998	11
1528.1	633.5800	0.190	4.950	   1	1998	11
1528.1	640.1500	0.180	4.892	   1	1998	11
1528.1	597.8300	0.240	5.155	   1	1998	11
1528.1	597.8300	0.240	5.155	   1	1998	11
1528.1	597.8700	0.240	5.155	   1	1998	11
1528.1	599.2900	0.240	5.153	   1	1998	11
1528.1	599.4900	0.240	5.144	   1	1998	11
1528.1	599.6300	0.240	5.131	   1	1998	11
1528.1	599.7600	0.240	5.124	   1	1998	11
1528.1	599.7600	0.240	5.124	   1	1998	11
1528.1	600.1300	0.230	5.115	   1	1998	11
1528.1	600.3300	0.230	5.114	   1	1998	11
1528.1	600.3300	0.230	5.114	   1	1998	11
1528.1	600.3700	0.230	5.117	   1	1998	11
1528.1	600.1100	0.230	5.117	   1	1998	11
1528.1	599.7400	0.240	5.113	   1	1998	11
1528.1	599.7900	0.230	5.112	   1	1998	11
1528.1	599.8500	0.220	5.109	   1	1998	11
1669.1	1001.1000	0.730	3.911	   1	1999	 9
1697.1	398.8600	0.790	6.697	   1	1999	10
2092.1	171.9000	1.980	9.005	   1	2001	11
479.2	390.1000	1.120	5.957	   1	2002	 9
479.2	403.8000	0.990	6.000	   8	2002	 9
479.2	403.8000	0.990	6.000	   8	2002	 9
479.2	407.6000	0.980	5.998	   1	2002	 9
479.2	410.5000	1.000	5.928	   2	2002	 9
479.2	410.5000	1.000	5.928	   2	2002	 9
479.2	424.8000	1.030	5.668	   1	2002	 9
479.2	470.5000	0.690	5.294	   1	2002	 9
479.2	486.2000	0.530	5.526	   5	2002	 9
479.2	486.2000	0.530	5.526	   5	2002	 9
479.2	496.5000	0.450	5.431	   1	2002	 9
479.2	506.1000	0.390	5.586	   3	2002	 9
479.2	531.9000	0.280	5.532	   2	2002	 9
479.2	546.2000	0.240	5.550	   4	2002	 9
479.2	546.2000	0.240	5.550	   4	2002	 9
479.2	546.2000	0.240	5.550	   4	2002	 9
479.2	568.8000	0.200	5.358	   1	2002	 9
479.2	581.8000	0.160	5.281	   3	2002	 9
479.2	602.3000	0.140	5.173	   1	2002	 9
479.2	605.1000	0.140	5.129	   1	2002	 9
479.2	629.3000	0.140	5.045	   1	2002	 9
479.2	655.9000	0.130	4.953	   4	2002	 9
479.2	685.0000	0.120	4.797	   4	2002	 9
479.2	720.2000	0.110	4.674	   1	2002	 9
479.2	720.2000	0.110	4.674	   1	2002	 9
479.2	720.2000	0.110	4.674	   1	2002	 9
479.2	730.4000	0.110	4.611	  20	2002	 9
480.2	563.4000	0.310	5.939	   2	2002	 9
480.2	581.6000	0.270	5.840	   2	2002	 9
480.2	599.1000	0.250	5.789	   1	2002	 9
480.2	619.2000	0.220	5.696	   1	2002	 9
480.2	626.9000	0.200	5.651	   3	2002	 9
480.2	658.1000	0.180	5.516	   1	2002	 9
480.2	674.1000	0.160	5.398	   1	2002	 9
481.2	389.3000	0.820	7.709	   1	2002	 9
481.2	389.3000	0.820	7.709	   1	2002	 9
481.2	648.6000	0.190	5.492	   1	2002	 9
481.2	649.4000	0.190	5.483	   9	2002	 9
481.2	642.8000	0.200	5.542	   2	2002	 9
2274.1	271.8000	1.320	8.222	  11	2002	10
2274.1	271.8000	1.320	8.222	  11	2002	10
2274.1	298.7000	1.180	7.950	   1	2002	10
2274.1	301.3000	1.160	7.918	   1	2002	10
2274.1	344.2000	1.030	7.480	   1	2002	10
2274.1	356.3000	0.960	7.338	   4	2002	10
2274.1	386.3000	0.820	6.989	   3	2002	10
2274.1	401.1000	0.700	6.875	   4	2002	10
