"","Year","Station","DIN","DIP","CHLFa","SIL","TN","TP","SAL","T","ZS"
"1",1990,"DANT",27.401,1.472,16.485,9.929,65.642,5.296,31.116,12.61,65.9
"2",1990,"DREI",16.3541666666667,4.54041666666667,2.44583333333333,10.8295833333333,41.5770833333333,5.73,31.4808333333333,12.2541666666667,2.33333333333333
"3",1990,"G6",31.61625,1.28625,7.3,8.26125,51.52,3.12375,31.41,12.05,28.25
"4",1990,"GROO",190.323636363636,4.07545454545455,6.81818181818182,95.2936363636364,249.675454545455,11.6036363636364,17.9272727272727,12.1818181818182,104.918181818182
"5",1990,"HAMM",25.3033333333333,1.59916666666667,2.48875,10.0958333333333,42.11375,2.6925,32.52125,12.8416666666667,9.125
"6",1990,"HANS",228.90375,8.23541666666667,10.8283333333333,54.8725,289.8225,13.3891666666667,20.28,12.825,52.4583333333333
"7",1990,"HUIB",32.8509090909091,1.14727272727273,6.81818181818182,9.20545454545455,54.3518181818182,2.28454545454545,31.0763636363636,11.8181818181818,12.1
"8",1990,"LODS",23.7591666666667,1.69125,2.90458333333333,8.17041666666667,43.6020833333333,2.91708333333333,32.15375,12.7625,8.5
"9",1990,"MARS",22.9122222222222,1.17444444444444,9.04888888888889,5.44777777777778,52.46,3.02111111111111,29.83,13.7666666666667,15.7777777777778
"10",1990,"N02",49.72375,2.3125,4.0375,10.93375,65.8925,3.61625,29.7175,11.775,14.125
"11",1990,"N20",21.035,1.13125,5.3125,5.38375,34.82125,1.83375,32.52625,11.9875,3.25
"12",1990,"N70",2.53625,0.235,1.2,2.07875,8.39375,0.645,35.23125,12.425,3.125
"13",1990,"SOEL",38.4229166666667,14.6054166666667,9.80416666666667,106.735,85.68375,16.90875,21.7541666666667,12.3208333333333,3.33333333333333
"14",1990,"T004",14.1822222222222,0.816666666666667,5.52222222222222,3.85222222222222,30.8733333333333,1.81333333333333,32.9377777777778,11.7888888888889,12.6666666666667
"15",1990,"T010",10.725,0.66875,3.55,2.92,20.3575,1.15,33.7775,11.6625,4.25
"16",1990,"T100",2.375,0.325,0.5625,2.82125,8.12625,0.60875,34.7775,11.375,2.5
"17",1990,"T135",1.99222222222222,0.343333333333333,0.6,2.71333333333333,7.30222222222222,0.631111111111111,34.7911111111111,11.7222222222222,2.77777777777778
"18",1990,"T175",1.46375,0.245,0.5625,2.1625,6.5175,0.5,34.93125,11.8625,2.375
"19",1990,"T235",1.47,0.213333333333333,0.922222222222222,1.38111111111111,6.27111111111111,0.452222222222222,34.9522222222222,11.1111111111111,1.66666666666667
"20",1990,"VLIS",52.8054545454545,2.42818181818182,5.96363636363636,16.7909090909091,78.1822727272727,5.38772727272727,31.6031818181818,12.25,53.7272727272727
"21",1990,"W02",20.60625,1.2275,6.2625,7.54625,40.8025,3.39125,33.1975,12.025,44.625
"22",1990,"W20",15.7957142857143,0.921428571428571,4.87142857142857,5.94,26.5314285714286,1.77571428571429,33.9085714285714,11.6142857142857,13.4285714285714
"23",1990,"W70",3.65125,0.30625,3.3625,2.6075,9.285,0.7,35.215,12.85,8.75
"24",1990,"WISS",23.1429166666667,1.37,3.16583333333333,9.29333333333333,41.3691666666667,4.65166666666667,32.84375,12.7791666666667,11.75
"25",1990,"ZIJP",31.37375,1.90166666666667,7.595,10.7654166666667,52.26125,3.05,30.4229166666667,12.75,4.79166666666667
"26",1990,"ZUID",30.3177777777778,1.80777777777778,13.0055555555556,13.8,62.8566666666667,4.82888888888889,31.2488888888889,12.9222222222222,35
"27",1991,"DANT",20.58125,1.3275,9.3075,10.2475,60.54875,5.61875,30.66375,11.675,94.875
"28",1991,"DREI",11.7420833333333,4.05375,5.36916666666667,7.86083333333333,36.0408333333333,5.54875,31.57,10.1166666666667,3.25
"29",1991,"G6",31.075,1.26227272727273,11.5372727272727,8.64803030303031,57.5398484848485,3.45818181818182,31.6165151515152,10.4393939393939,45.8030303030303
"30",1991,"GROO",137.6,4.682,4.296,97.474,187.442,10.752,19.536,13.88,119.2
"31",1991,"HAMM",25.5745833333333,1.38875,5.18916666666667,9.42666666666667,43.6345833333333,2.7075,32.1545833333333,10.2041666666667,11.1666666666667
"32",1991,"HANS",280.838125,7.9375,6.225,71.18125,305.501875,12.6025,18.739375,9.65,57.75
"33",1991,"HUIB",28.6416666666667,1.31666666666667,4.84333333333333,10.0983333333333,47.8683333333333,2.34666666666667,30.675,11.6333333333333,9
"34",1991,"LODS",19.5509090909091,1.44727272727273,4.32,5.73772727272727,42.9540909090909,2.815,31.8659090909091,10.6681818181818,6.68181818181818
"35",1991,"MARS",21.88,1.046,7.288,4.72,43.814,2.476,30.552,13.56,17.4
"36",1991,"N02",47.6057407407407,1.76,10.4812962962963,11.2944444444444,69.9203703703704,3.495,29.6131481481481,10.6888888888889,18.8148148148148
"37",1991,"N10",50.2872222222222,2.06777777777778,1.99944444444444,16.1633333333333,66.5716666666667,2.82333333333333,31.0933333333333,7.41666666666667,6.77777777777778
"38",1991,"N20",19.814,0.91,4.504,5.73,34.257,1.842,32.939,10.9,7.8
"39",1991,"N70",3.13363636363636,0.265454545454545,2.49636363636364,1.33727272727273,9.55090909090909,0.944545454545455,35.2609090909091,10.6909090909091,4.45454545454545
"40",1991,"R03",10.914,1.212,18.688,4.242,46.1,4.254,32.478,13.64,30.8
"41",1991,"R50",5.07,0.35,2.944,1.388,17.522,1.394,33.748,13.78,4.4
"42",1991,"R70",3.608,0.204,2.056,2.222,13.436,1.076,33.326,14.3,3.4
